longitude,latitude
-101.5526000,29.8041000
-101.5478000,29.8097000
-101.5441000,29.8115000
-101.5403000,29.8078000
-101.5353000,29.7982000
-101.5390000,29.7864000
-101.5398000,29.7646000
-101.5395000,29.7606000
-101.5367000,29.7581000
-101.5306000,29.7585000
-101.5193000,29.7643000
-101.5022000,29.7642000
-101.4864000,29.7744000
-101.4795000,29.7835000
-101.4637000,29.7893000
-101.4572000,29.7888000
-101.4534000,29.7847000
-101.4555000,29.7707000
-101.4525000,29.7630000
-101.4510000,29.7533000
-101.4461000,29.7498000
-101.4369000,29.7511000
-101.4089000,29.7710000
-101.4013000,29.7707000
-101.3983000,29.7660000
-101.3991000,29.7620000
-101.4021000,29.7586000
-101.4149000,29.7526000
-101.4160000,29.7469000
-101.4105000,29.7416000
-101.4012000,29.7385000
-101.3972000,29.7352000
-101.3963000,29.7281000
-101.3990000,29.7183000
-101.3977000,29.7138000
-101.3730000,29.6997000
-101.3719000,29.6928000
-101.3735000,29.6775000
-101.3654000,29.6664000
-101.3632000,29.6542000
-101.3607000,29.6487000
-101.3583000,29.6479000
-101.3555000,29.6494000
-101.3477000,29.6620000
-101.3369000,29.6596000
-101.3218000,29.6604000
-101.3162000,29.6592000
-101.3057000,29.6542000
-101.3016000,29.6485000
-101.3004000,29.6419000
-101.3013000,29.6353000
-101.3104000,29.6170000
-101.3133000,29.6038000
-101.3109000,29.5873000
-101.3050000,29.5773000
-101.2969000,29.5722000
-101.2915000,29.5721000
-101.2789000,29.5877000
-101.2769000,29.6011000
-101.2798000,29.6154000
-101.2764000,29.6218000
-101.2685000,29.6297000
-101.2640000,29.6305000
-101.2539000,29.6270000
-101.2479000,29.6195000
-101.2523000,29.6032000
-101.2430000,29.5662000
-101.2543000,29.5513000
-101.2609000,29.5382000
-101.2611000,29.5267000
-101.2586000,29.5224000
-101.2541000,29.5208000
-101.2363000,29.5237000
-101.1856000,29.5180000
-101.1761000,29.5120000
-101.1623000,29.4906000
-101.1476000,29.4745000
-101.1420000,29.4727000
-101.1298000,29.4767000
-101.1156000,29.4683000
-101.1027000,29.4702000
-101.0886000,29.4695000
-101.0601000,29.4585000
-101.0570000,29.4408000
-101.0432000,29.4294000
-101.0377000,29.4145000
-101.0388000,29.4105000
-101.0371000,29.4065000
-101.0171000,29.3878000
-101.0135000,29.3808000
-101.0141000,29.3740000
-101.0108000,29.3692000
-101.0047000,29.3653000
-100.9938000,29.3628000
-100.9727000,29.3544000
-100.9720000,29.3518000
-100.9636000,29.3468000
-100.9498000,29.3477000
-100.9431000,29.3416000
-100.9410000,29.3335000
-100.9386000,29.3314000
-100.9361000,29.3314000
-100.9279000,29.3267000
-100.9198000,29.3259000
-100.9178000,29.3244000
-100.9167000,29.3190000
-100.9075000,29.3166000
-100.9064000,29.3132000
-100.8989000,29.3093000
-100.8934000,29.3106000
-100.8862000,29.3074000
-100.8813000,29.2983000
-100.8803000,29.2827000
-100.8759000,29.2795000
-100.8634000,29.2758000
-100.8548000,29.2755000
-100.8528000,29.2721000
-100.8486000,29.2718000
-100.8408000,29.2644000
-100.8351000,29.2616000
-100.8249000,29.2614000
-100.8180000,29.2642000
-100.8142000,29.2639000
-100.8129000,29.2612000
-100.8163000,29.2563000
-100.8164000,29.2537000
-100.8059000,29.2521000
-100.7960000,29.2452000
-100.7943000,29.2421000
-100.7970000,29.2339000
-100.7958000,29.2288000
-100.7925000,29.2256000
-100.7852000,29.2279000
-100.7815000,29.2195000
-100.7738000,29.2106000
-100.7766000,29.2045000
-100.7762000,29.2001000
-100.7693000,29.1991000
-100.7670000,29.1957000
-100.7662000,29.1849000
-100.7761000,29.1727000
-100.7728000,29.1684000
-100.7641000,29.1654000
-100.7635000,29.1601000
-100.7596000,29.1570000
-100.7468000,29.1545000
-100.7393000,29.1502000
-100.7370000,29.1477000
-100.7387000,29.1400000
-100.7245000,29.1273000
-100.7088000,29.1189000
-100.6989000,29.1169000
-100.6846000,29.1112000
-100.6749000,29.1007000
-100.6678000,29.0859000
-100.6644000,29.0747000
-100.6637000,29.0505000
-100.6602000,29.0319000
-100.6563000,29.0181000
-100.6510000,29.0083000
-100.6486000,28.9996000
-100.6492000,28.9958000
-100.6457000,28.9878000
-100.6485000,28.9829000
-100.6464000,28.9673000
-100.6506000,28.9622000
-100.6477000,28.9602000
-100.6470000,28.9564000
-100.6507000,28.9485000
-100.6515000,28.9429000
-100.6454000,28.9399000
-100.6380000,28.9270000
-100.6310000,28.9245000
-100.6297000,28.9226000
-100.6297000,28.9190000
-100.6315000,28.9168000
-100.6393000,28.9166000
-100.6409000,28.9146000
-100.6364000,28.9113000
-100.6326000,28.9037000
-100.6268000,28.9039000
-100.6247000,28.9060000
-100.6246000,28.9095000
-100.6225000,28.9102000
-100.6167000,28.9075000
-100.6158000,28.9029000
-100.6134000,28.9012000
-100.6108000,28.9007000
-100.6069000,28.9028000
-100.6010000,28.9016000
-100.6034000,28.8877000
-100.6007000,28.8863000
-100.5912000,28.8890000
-100.5895000,28.8868000
-100.5906000,28.8836000
-100.5989000,28.8796000
-100.5988000,28.8748000
-100.5969000,28.8731000
-100.5904000,28.8729000
-100.5915000,28.8646000
-100.5899000,28.8616000
-100.5793000,28.8552000
-100.5730000,28.8488000
-100.5770000,28.8358000
-100.5745000,28.8281000
-100.5703000,28.8258000
-100.5618000,28.8292000
-100.5476000,28.8262000
-100.5455000,28.8185000
-100.5461000,28.8128000
-100.5418000,28.8080000
-100.5351000,28.8047000
-100.5330000,28.7885000
-100.5381000,28.7813000
-100.5351000,28.7755000
-100.5305000,28.7721000
-100.5297000,28.7687000
-100.5329000,28.7640000
-100.5334000,28.7588000
-100.5283000,28.7558000
-100.5211000,28.7576000
-100.5145000,28.7513000
-100.5144000,28.7422000
-100.5074000,28.7402000
-100.5080000,28.7225000
-100.5067000,28.7169000
-100.5120000,28.7065000
-100.5082000,28.6841000
-100.5002000,28.6617000
-100.4973000,28.6587000
-100.4796000,28.6556000
-100.4744000,28.6471000
-100.4615000,28.6408000
-100.4559000,28.6424000
-100.4472000,28.6421000
-100.4457000,28.6376000
-100.4486000,28.6170000
-100.4472000,28.6092000
-100.4336000,28.6063000
-100.4321000,28.5984000
-100.4299000,28.5962000
-100.3985000,28.5851000
-100.3968000,28.5810000
-100.3974000,28.5750000
-100.4092000,28.5564000
-100.4110000,28.5498000
-100.4047000,28.5355000
-100.3940000,28.5274000
-100.3883000,28.5147000
-100.3679000,28.5096000
-100.3537000,28.5041000
-100.3401000,28.5023000
-100.3339000,28.4993000
-100.3359000,28.4933000
-100.3444000,28.4862000
-100.3554000,28.4820000
-100.3648000,28.4815000
-100.3679000,28.4795000
-100.3684000,28.4767000
-100.3604000,28.4665000
-100.3407000,28.4488000
-100.3377000,28.4425000
-100.3365000,28.4285000
-100.3417000,28.4148000
-100.3495000,28.4034000
-100.3427000,28.3864000
-100.3184000,28.3592000
-100.3145000,28.3461000
-100.2912000,28.3200000
-100.2866000,28.3122000
-100.2882000,28.2996000
-100.2942000,28.2836000
-100.2936000,28.2788000
-100.2908000,28.2750000
-100.2823000,28.2700000
-100.2737000,28.2577000
-100.2555000,28.2384000
-100.2462000,28.2343000
-100.2271000,28.2358000
-100.2211000,28.2332000
-100.2173000,28.2263000
-100.2129000,28.1991000
-100.2095000,28.1913000
-100.1956000,28.1896000
-100.1843000,28.1850000
-100.1736000,28.1786000
-100.1679000,28.1710000
-100.1589000,28.1676000
-100.1413000,28.1681000
-100.1201000,28.1558000
-100.0862000,28.1462000
-100.0834000,28.1433000
-100.0779000,28.1291000
-100.0678000,28.1143000
-100.0561000,28.1039000
-100.0567000,28.0939000
-100.0530000,28.0851000
-100.0464000,28.0791000
-100.0285000,28.0732000
-100.0182000,28.0657000
-100.0122000,28.0354000
-100.0073000,28.0202000
-99.9905000,27.9936000
-99.9602000,27.9831000
-99.9389000,27.9823000
-99.9315000,27.9803000
-99.9326000,27.9662000
-99.9388000,27.9522000
-99.9373000,27.9409000
-99.9349000,27.9376000
-99.9277000,27.9333000
-99.9258000,27.9271000
-99.9188000,27.9189000
-99.9005000,27.9124000
-99.8937000,27.8998000
-99.8947000,27.8917000
-99.9028000,27.8819000
-99.9041000,27.8737000
-99.9011000,27.8640000
-99.8928000,27.8556000
-99.8824000,27.8498000
-99.8768000,27.8408000
-99.8759000,27.8358000
-99.8780000,27.8256000
-99.8740000,27.8126000
-99.8778000,27.8004000
-99.8755000,27.7968000
-99.8708000,27.7940000
-99.8508000,27.7939000
-99.8444000,27.7784000
-99.8423000,27.7676000
-99.8362000,27.7632000
-99.8308000,27.7631000
-99.8239000,27.7653000
-99.8178000,27.7762000
-99.8128000,27.7737000
-99.8080000,27.7653000
-99.7999000,27.7396000
-99.7931000,27.7329000
-99.7883000,27.7307000
-99.7842000,27.7304000
-99.7747000,27.7334000
-99.7691000,27.7306000
-99.7606000,27.7212000
-99.7567000,27.7114000
-99.7339000,27.6876000
-99.7240000,27.6730000
-99.7226000,27.6674000
-99.7105000,27.6574000
-99.7046000,27.6550000
-99.6993000,27.6554000
-99.6960000,27.6638000
-99.6901000,27.6688000
-99.6892000,27.6639000
-99.6865000,27.6615000
-99.6787000,27.6586000
-99.6704000,27.6600000
-99.6659000,27.6586000
-99.6618000,27.6552000
-99.6583000,27.6488000
-99.6606000,27.6437000
-99.6656000,27.6400000
-99.6663000,27.6364000
-99.6555000,27.6293000
-99.6487000,27.6304000
-99.6387000,27.6267000
-99.6278000,27.6294000
-99.6228000,27.6335000
-99.6268000,27.6399000
-99.6241000,27.6436000
-99.6205000,27.6429000
-99.6159000,27.6374000
-99.6034000,27.6419000
-99.5959000,27.6398000
-99.5926000,27.6355000
-99.5915000,27.6277000
-99.5831000,27.6209000
-99.5771000,27.6183000
-99.5768000,27.6110000
-99.5790000,27.6080000
-99.5843000,27.6060000
-99.5842000,27.6035000
-99.5780000,27.6021000
-99.5605000,27.6073000
-99.5580000,27.6093000
-99.5566000,27.6136000
-99.5544000,27.6141000
-99.5403000,27.6044000
-99.5350000,27.5900000
-99.5290000,27.5792000
-99.5134000,27.5693000
-99.5115000,27.5641000
-99.5143000,27.5566000
-99.5190000,27.5525000
-99.5220000,27.5443000
-99.5225000,27.5330000
-99.5255000,27.5221000
-99.5250000,27.5122000
-99.5282000,27.4982000
-99.5231000,27.4965000
-99.5013000,27.5001000
-99.4934000,27.4976000
-99.4813000,27.4891000
-99.4788000,27.4795000
-99.4824000,27.4754000
-99.4832000,27.4673000
-99.4926000,27.4548000
-99.4953000,27.4466000
-99.4955000,27.4380000
-99.4876000,27.4110000
-99.4895000,27.3991000
-99.4928000,27.3920000
-99.4923000,27.3806000
-99.5030000,27.3665000
-99.5079000,27.3535000
-99.5045000,27.3388000
-99.5216000,27.3247000
-99.5368000,27.3226000
-99.5381000,27.3165000
-99.5365000,27.3121000
-99.5279000,27.3048000
-99.5120000,27.3041000
-99.5034000,27.3062000
-99.4946000,27.3038000
-99.4876000,27.2942000
-99.4878000,27.2886000
-99.4966000,27.2729000
-99.4944000,27.2665000
-99.4909000,27.2627000
-99.4826000,27.2594000
-99.4620000,27.2684000
-99.4503000,27.2611000
-99.4418000,27.2508000
-99.4415000,27.2365000
-99.4454000,27.2232000
-99.4425000,27.2180000
-99.4327000,27.2096000
-99.4330000,27.2018000
-99.4262000,27.1761000
-99.4301000,27.1592000
-99.4400000,27.1511000
-99.4388000,27.1453000
-99.4319000,27.1382000
-99.4310000,27.1252000
-99.4322000,27.1210000
-99.4425000,27.1068000
-99.4287000,27.0926000
-99.4356000,27.0790000
-99.4482000,27.0702000
-99.4527000,27.0641000
-99.4510000,27.0550000
-99.4447000,27.0412000
-99.4437000,27.0333000
-99.4457000,27.0219000
-99.4445000,27.0193000
-99.4331000,27.0108000
-99.4259000,27.0102000
-99.4136000,27.0119000
-99.4088000,27.0099000
-99.4030000,26.9998000
-99.3921000,26.9873000
-99.3871000,26.9820000
-99.3813000,26.9793000
-99.3816000,26.9724000
-99.3917000,26.9662000
-99.3949000,26.9622000
-99.3914000,26.9481000
-99.3849000,26.9388000
-99.3773000,26.9330000
-99.3684000,26.9298000
-99.3521000,26.9279000
-99.3445000,26.9239000
-99.3285000,26.9195000
-99.3227000,26.9110000
-99.3234000,26.8996000
-99.3288000,26.8796000
-99.3171000,26.8655000
-99.3099000,26.8642000
-99.2946000,26.8650000
-99.2803000,26.8578000
-99.2699000,26.8450000
-99.2620000,26.8149000
-99.2424000,26.7864000
-99.2408000,26.7475000
-99.2396000,26.7453000
-99.2090000,26.7247000
-99.2100000,26.6927000
-99.2019000,26.6588000
-99.1788000,26.6219000
-99.1705000,26.5606000
-99.1682000,26.5570000
-99.1716000,26.5482000
-99.1711000,26.5419000
-99.1669000,26.5360000
-99.1535000,26.5307000
-99.1284000,26.5255000
-99.1183000,26.5164000
-99.1045000,26.4995000
-99.0916000,26.4756000
-99.0936000,26.4685000
-99.1008000,26.4581000
-99.1001000,26.4533000
-99.1025000,26.4481000
-99.1029000,26.4418000
-99.1071000,26.4377000
-99.1134000,26.4352000
-99.1137000,26.4329000
-99.1103000,26.4257000
-99.0998000,26.4176000
-99.0960000,26.4118000
-99.0892000,26.4080000
-99.0850000,26.3980000
-99.0815000,26.3966000
-99.0623000,26.3973000
-99.0533000,26.4023000
-99.0439000,26.4108000
-99.0363000,26.4135000
-99.0311000,26.4124000
-99.0219000,26.4071000
-99.0128000,26.3931000
-99.0108000,26.3923000
-99.0035000,26.3935000
-98.9880000,26.3914000
-98.9783000,26.4001000
-98.9737000,26.4011000
-98.9691000,26.3988000
-98.9633000,26.3988000
-98.9545000,26.3945000
-98.9534000,26.3846000
-98.9561000,26.3771000
-98.9496000,26.3716000
-98.9431000,26.3693000
-98.9367000,26.3704000
-98.9351000,26.3722000
-98.9341000,26.3779000
-98.9353000,26.3856000
-98.9267000,26.3946000
-98.9236000,26.3921000
-98.9232000,26.3800000
-98.9183000,26.3750000
-98.9127000,26.3720000
-98.9012000,26.3708000
-98.8993000,26.3653000
-98.9011000,26.3602000
-98.8970000,26.3531000
-98.8890000,26.3572000
-98.8708000,26.3619000
-98.8608000,26.3662000
-98.8508000,26.3640000
-98.8484000,26.3594000
-98.8430000,26.3583000
-98.8312000,26.3640000
-98.8248000,26.3707000
-98.8191000,26.3708000
-98.8144000,26.3659000
-98.8046000,26.3676000
-98.7986000,26.3609000
-98.7958000,26.3476000
-98.7880000,26.3377000
-98.7892000,26.3306000
-98.7784000,26.3259000
-98.7693000,26.3248000
-98.7640000,26.3259000
-98.7551000,26.3312000
-98.7507000,26.3312000
-98.7471000,26.3185000
-98.7447000,26.3151000
-98.7380000,26.3134000
-98.7361000,26.3083000
-98.7381000,26.3040000
-98.7421000,26.3027000
-98.7508000,26.3078000
-98.7547000,26.3079000
-98.7564000,26.3036000
-98.7509000,26.2960000
-98.7431000,26.2936000
-98.7344000,26.2983000
-98.7292000,26.2991000
-98.7224000,26.2958000
-98.7170000,26.2859000
-98.7078000,26.2892000
-98.7023000,26.2869000
-98.6997000,26.2807000
-98.7016000,26.2775000
-98.7105000,26.2791000
-98.7170000,26.2782000
-98.7199000,26.2760000
-98.7198000,26.2721000
-98.7017000,26.2660000
-98.6863000,26.2650000
-98.6813000,26.2630000
-98.6778000,26.2565000
-98.6791000,26.2450000
-98.6759000,26.2404000
-98.6696000,26.2363000
-98.6563000,26.2356000
-98.6449000,26.2410000
-98.6337000,26.2425000
-98.6323000,26.2519000
-98.6231000,26.2597000
-98.6200000,26.2554000
-98.6170000,26.2464000
-98.6139000,26.2479000
-98.6120000,26.2531000
-98.6078000,26.2532000
-98.5979000,26.2578000
